ID, Compulsory, Natural, Social
BD1200723 18.7 15.5 0
BD1200724 8.25 10.75 10.75
BD1200725 19.35 19.5 0
BD1200726 20 13.75 19.25
BD1200727 11.7 0 20.25
BD1200728 19.4 0 19.25
BD1200729 13.7 0 16.25
BD1200730 19.65 0 17.75
BD1200731 8.75 0 14.75
BD1200732 13.2 12.75 0
BD1200733 16.85 0 18.5
BD1200734 15.8 0 19.75
BD1200735 12.6 8.5 17
BD1200736 17.7 12.75 0
BD1200737 15.15 0 13.5
BD1200738 13.85 12.5 0
BD1200739 21 16.5 0
BD1200740 11.9 0 20
BD1200741 19.2 16.75 0
BD1200742 13.25 0 18.75
BD1200743 14.1 0 20
BD1200744 16.7 15.75 0
BD1200745 10.4 10.75 0
BD1200746 10.95 0 13.25
BD1200747 20.5 23 0
BD1200748 13.4 0 21.25
BD1200749 18.3 0 19.5
BD1200750 16.4 0 17.75
BD1200751 12.2 7.5 15.5
BD1200752 20.1 16.5 0
BD1200753 18.15 16.25 0
BD1200754 16.4 10.75 0
BD1200755 7.45 0 5.75
BD1200756 10.95 0 19.25
BD1200757 18.05 13.25 0
BD1200758 7.6 0 10.75
BD1200759 14.35 7.5 17.25
BD1200760 14.3 0 21
BD1200761 16.4 14.25 0
BD1200762 16.8 20.25 0
BD1200763 11.15 0 16.25
BD1200764 14.8 0 15.5
BD1200765 7.2 12.5 0
BD1200766 22.05 17.5 15.75
BD1200767 16.1 11.75 14.5
BD1200768 15.95 16.75 19.5
BD1200769 16.3 10.75 0
BD1200770 16.4 14.75 0
BD1200771 16.6 14.5 0
BD1200772 20.3 20 0
BD1200773 22.05 17.25 0
BD1200774 17.45 11.75 0
BD1200775 22.15 14.75 0
BD1200776 7.9 10.25 14
BD1200777 19.25 18.75 0
BD1200778 16.3 17.75 18
BD1200779 15.55 10.75 18.25
BD1200780 14.6 0 19.75
BD1200781 9.25 0 5
BD1200782 17.5 21.25 0
BD1200783 17.8 16.5 0
BD1200784 11.95 0 17
BD1200785 16.45 0 15.5
BD1200786 9.55 0 3.75
BD1200787 18.3 0 23
BD1200788 16.1 0 27.5
BD1200789 13.35 9.25 0
BD1200790 12.4 0 21.5
BD1200791 20.6 20.25 0
BD1200792 13.55 0 19.75
BD1200793 13.9 14.25 19.5
BD1200794 14.5 0 20.5
BD1200795 14.6 9.25 15.25
BD1200796 11.95 9.5 20
BD1200797 22.1 18 0
BD1200798 15.9 0 17
BD1200799 15.75 19.5 0
BD1200800 15.05 18.5 0
BD1200801 15 0 15.5
BD1200802 17.15 16.75 0
BD1200803 13.1 9.5 15.5
BD1200804 17.6 0 17.5
BD1200805 7 14.5 0
BD1200806 14.7 16.25 0
BD1200807 5.8 0 12
BD1200808 14.6 9.75 20.5
BD1200809 16.1 11.75 18.25
BD1200810 16.7 16.75 0
BD1200811 10.5 0 18.25
BD1200812 15.4 9.5 0
BD1200813 14.3 0 24.25
BD1200814 15.45 11.25 0
BD1200815 5.35 0 7.25
BD1200816 20 0 17.75
BD1200817 13.25 0 17
BD1200818 13.95 15.5 0
BD1200819 18.05 9.25 13.75
BD1200820 6.2 0 2.75
BD1200821 9.4 9.25 15.75
BD1200822 14.65 0 21.75
BD1200823 7.6 15 0
BD1200824 12 10.25 19.75
BD1200825 23.1 0 18.5
BD1200826 11.55 0 12.75
BD1200827 14.7 0 17.25
BD1200828 17.9 19 0
BD1200829 13.35 0 15.75
BD1200830 15.3 13.25 0
BD1200831 19.45 20.25 0
BD1200832 15.55 8.25 0
BD1200833 15.45 0 17.75
BD1200834 18.65 0 18.75
BD1200835 16.3 13.75 16.25
BD1200836 11.85 0 17.5
BD1200837 13.9 10 19.75
BD1200838 15.15 19.5 0
BD1200839 16.1 16.25 17.75
BD1200840 14.2 0 18
BD1200841 14.8 0 15.5
BD1200843 12.2 6.75 18
BD1200844 18 12 0
BD1200845 17.7 19 0
BD1200846 18.55 0 18.25
BD1200847 21.4 14.75 0
BD1200848 17.35 0 18
BD1200849 9.6 0 18.5
BD1200851 20.4 0 23.25
BD1200852 13.8 0 17.75
BD1200853 21.5 19.25 0
BD1200854 15.95 0 18.25
BD1200855 15.45 0 18.75
BD1200856 21.85 23 0
BD1200857 13.1 12.25 0
BD1200858 16.1 0 18.75
BD1200859 19.15 0 19.75
BD1200860 15.9 16.5 0
BD1200861 14.6 10.25 21
BD1200862 12.65 11 0
BD1200863 20.95 0 18
BD1200864 10.3 0 15
BD1200865 17.35 20.75 0
BD1200866 18.75 18.75 0
BD1200867 18 0 14
BD1200868 15.1 7 17.25
BD1200869 22.65 0 23.75
BD1200870 16.15 15.25 0
BD1200871 13 0 19
BD1200872 14.15 0 16.75
BD1200873 16.65 0 24.25
BD1200875 14.15 11 0
BD1200876 18.15 19 0
BD1200877 11.8 8.5 0
BD1200878 15.2 0 17.25
BD1200879 16.3 13.75 0
BD1200880 17.35 0 20.5
BD1200881 11.2 9.75 17.25
BD1200882 6.95 7.5 6.75
BD1200883 15.2 14.5 0
BD1200884 17.2 17.25 0
BD1200885 11.1 0 15.5
BD1200886 17.05 18.75 0
BD1200887 15.7 0 20.25
BD1200888 19.85 0 22.5
BD1200889 14.5 16.25 0
BD1200890 20.55 0 19.75
BD1200891 12.2 0 15
BD1200892 15.2 9 18.5
BD1200893 17.75 18.75 0
BD1200894 15.3 12 0
BD1200895 9.8 0 12.5
BD1200896 7.35 0 16.75
BD1200897 11.25 0 11
BD1200898 12.15 0 20.75
